Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
22-Oct-42,"Yanaul, Russia Aeroflot",gvf,gvf ps-84,,,12,10,0
22-Oct-42,"Budapest, Romania Deutsche Lufthansa",junkers,junkers ju-52/3m,,,17,17,0
23-Oct-42,"Palm Springs, California American Airlines / Military - USAF",douglas,douglas dc-3,lockheed,lockheed b-34,13,12,0
24-Oct-42,"La Esperanza, Colombia Avianca",boeing,boeing 247,,,6,6,0
30-Oct-42,Norway Military - Royal Air Force,handley page,handley page hp-57 halifax,,,10,10,0
17-Nov-42,"Near Kranoyarsk, Russia Kranoyarskie Vozhjushnye Trassy",grazhdansky vozdushnyi flot,grazhdansky vozdushnyi flot ps-84,,,20,20,0
12-Dec-42,"Near Tashkent, Russia Aeroflot",tupolev,tupolev a.n.t. 20bis,,,36,36,0
15-Dec-42,"Fairfield, Utah Western Airlines",douglas,douglas dc-3a,,,19,17,0
19-Dec-42,"Near Vienna, Austria DDL",junkers,junkers ju-52/3m,,,16,2,0
20-Dec-42,"Near Chilliwack, British Columbia, Canada Canadian Pacific Air Lines",lockheed,lockheed 14-h2 super electra,,,13,13,0
9-Jan-43,"Near Cabo Ruivo, Marine Base, Lisbon, Portugal British Overseas Airways",short,short s-26 (flying boat),,,15,13,0
15-Jan-43,"Near Paramarino, Dutch Guyana Military - U.S. Army Air Forces",douglas,douglas c-54a,,,35,35,0
18-Jan-43,"Off the Brazilian coast, Atlantic Ocean Military - U.S. Army Air Forces",consolidated,consolidated c-87,,,26,26,0
21-Jan-43,"Ukiah, California Pan American World Airways",martin,martin m-130 (flying boat),,,19,19,0
22-Jan-43,"Near Chaparra, Peru Pan American Grace Airlines",douglas,douglas dc-3a,,,15,14,0
9-Feb-43,"Near Gander, Newfoundland British Overseas Airways",consolidated,consolidated 32-3 liberator ii,,,21,19,0
18-Feb-43,"Seattle, Washington Private - Boeing Aircraft Company",boeing,boeing xb-29,,,10,10,20
22-Feb-43,"Lisbon, Portugal Pan American World Airways",boeing,boeing b-314 (flying boat),,,39,25,0
11-Mar-43,"Luishui, China China National Aviation Corporation",douglas,douglas c-53,,,3,3,0
13-Mar-43,"Himalaya, China China National Aviation Corporation",douglas,douglas c-53,,,3,3,0
27-Mar-43,"Archerfield Aerodrome, Queensland, Australia Military - Royal Australian Air Force",douglas,douglas c-47-dl,,,24,24,0
4-Apr-43,North Sea British Overseas Airways,lockheed,lockheed c-56b lodestar,,,7,7,0
22-Apr-43,"Off Port Moresby, New Guinea Qantas",short,short s-23,,,31,13,0
1-Jun-43,Off the coast of France British Overseas Airways,douglas,douglas dc-3,,,17,17,0
7-Jun-43,"Red Springs, North Carolina Military - U.S. Army Air Forces",douglas,douglas c-47a-dl,,,20,20,0
8-Jun-43,"Noumea, New Caledonia Military - US Navy",douglas,douglas c-47 skytrain (dc-3),,,23,23,0
14-Jun-43,"Near Mackay, OLD, Australia Military - U.S. Army Air Forces",boeing,boeing b-17c flying fortress,,,41,40,0
16-Jun-43,"Khartoum, Sudan British Overseas Airways",lockheed,lockheed hudson vi,,,17,17,0
30-Jun-43,"Khartoum, Sudan British Overseas Airways",lockheed,lockheed hudson vi,,,16,16,0
4-Jul-43,Gibraltar ?,consolidated,consolidated liberator b24 c,,,13,12,0
27-Jul-43,"Naknek AFB, Alaska Military - US Army",douglas,douglas c-47 skytrain,,,11,11,0
28-Jul-43,"Brandon Head, Ireland British Overseas Airways",short,short s-25 sunderland 3 (flying boat),,,25,10,0
28-Jul-43,"Trammel, Kentucky American Airlines",douglas,douglas dc-3,,,22,20,0
1-Aug-43,"Ploesti, Romania Military - U.S. Army Air Forces",consolidated,consolidated b-24,,,10,10,63
7-Aug-43,"Off Townsville, Australia Military - U.S. Air Force",douglas,douglas c-47-dl,,,27,27,0
11-Aug-43,"Fort Hertz, China China National Aviation Corporation",douglas,douglas c-53,,,3,3,0
14-Aug-43,"Rhodes, Greece LATI",savoia-marchetti,savoia-marchetti sm.75,,,17,17,0
27-Aug-43,"Rio de Janeiro, Brazil VASP",junkers,junkers ju-52/3m,,,21,18,0
